When was the Declaration of Independence signed?
2," The signing of the United States Declaration of Independence occurred primarily on August 2, at the bottom of the page, later to become known as Independence Hall."
1,"The 56 delegates to the Second Continental Congress represented the 13 colonies, 12 of which voted to approve the Declaration of Independence on July 4, 1776."
0,The New York delegation abstained because they had not yet received instructions from Albany to vote for independence.
0,"The Declaration proclaimed the signatory colonies were now 'free and independent States', no longer colonies of the Kingdom of Great Britain and, thus, no longer a part of the British Empire."
0,"The signers’ names are grouped by state, with the exception of John Hancock, as President of the Continental Congress; the states are arranged geographically from south to north, with Button Gwinnett from Georgia first, and Matthew Thornton from New Hampshire last. "
1,"The final draft of the Declaration was approved by the Continental Congress on July 4, although the date of its signing has long been disputed."
2,"Most historians have concluded that it was signed on August 2, 1776, nearly a month after its adoption, and not on July 4 as is commonly believed. "
1,"The Second Continental Congress adopted the Declaration of Independence on July 4, 1776, with 12 of the 13 colonies voting in favor and New York abstaining."
1,The date that the Declaration was signed has long been the subject of debate.
2,"Thomas Jefferson, Benjamin Franklin, and John Adams all wrote that it was signed by Congress on the day when it was adopted on July 4, 1776."
0,"That assertion is seemingly confirmed by the signed copy of the Declaration, which is dated July 4."
0,"Additional support for the July 4 date is provided by the Journals of the Continental Congress, the official public record of the Continental Congress."
0,"The proceedings for 1776 were first published in 1777, and the entry for July 4 states that the Declaration was engrossed and signed on that date (the official copy was handwritten by Timothy Matlack). "
2,"In 1796, signer Thomas McKean disputed that the Declaration had been signed on July 4, pointing out that some signers were not present, including several who were not even elected to Congress until after that date."
0,"'No person signed it on that day nor for many days after', he wrote."
0,His claim gained support when the Secret Journals of Congress were published in 1821.
0,The Secret Journals contained two previously unpublished entries about the Declaration. 
0,"On July 9, New York's delegates got permission from their convention to agree to the Declaration."
0,This news reached the Continental Congress on July 15.
0,"The Secret Journals entry for July 19 reads: Resolved That the Declaration passed on the 4th be fairly engrossed on parchment with the title and stile of 'The unanimous declaration of the thirteen united states of America' & that the same when engrossed be signed by every member of Congress. "
