When did the Protestant Reformation begin?
1," The Reformation, also known as the Protestant Reformation and the European Reformation, was a major theological movement in Western Christianity in 16th-century Europe that posed a religious and political challenge to the papacy and the authority of the Catholic Church."
0,"Following the start of the Renaissance, the Reformation marked the beginning of Protestantism. "
0,It is considered one of the events that signified the end of the Middle Ages and the beginning of the early modern period in Europe.
0,The end of the Reformation era is disputed among modern scholars. 
0,"Prior to Martin Luther and other Protestant Reformers, there were earlier reform movements within Western Christianity."
2,"The Reformation, however, is usually considered to have started with the publication of the Ninety-five Theses, authored by Martin Luther in 1517."
0,"Four years later, in January 1521, Luther was excommunicated by Pope Leo X."
0,"In May 1521, at the Diet of Worms, Luther was condemned by the Holy Roman Empire, which officially banned citizens from defending or propagating Luther's ideas.  "
0,Luther survived after being declared an outlaw due to the protection of Elector Frederick the Wise. 
0,The spread of Gutenberg's printing press provided the means for the rapid dissemination of religious materials in the vernacular.
0,"The initial movement in Germany diversified, and nearby other reformers such as Huldrych Zwingli and John Calvin with different theologies arose. "
0,"In general, the Reformers argued that salvation in Christianity was a completed status based on faith in Jesus alone and not a process that could involve good works, as in the Catholic view."
0,Protestantism also introduced new ecclesiology. 
0,The Counter-Reformation was the Catholic reform efforts initiated in response to the Protestant Reformation and its causes. 
0,"In the 16th-century context, the term mainly covers four major movements: Lutheranism, Calvinism, the Radical Reformation, and the Catholic Reformation."
0,"Historian John Bossy criticized the term Reformation  for 'wrongly implying that bad religion  was giving way to good,' but also because it has 'little application to actual social behaviour and little or no sensitivity to thought, feeling or culture"
0,"Some historians have also suggested a persisting Erasmian Reformation. Anglican theologian Alister McGrath explains the term 'Reformation' as 'an interpretative category—a way of mapping out a slice of history in which certain ideas, attitudes, and values were developed, explored, and applied'. "
0,"Those who write of the 'Protestant Reformation' exclude the early modern Catholic reform movements."
0,"Magisterial Reformation has a narrower sense, as it refers only to mainstream Protestantism, primarily Lutheranism and Calvinism, contrasting it with more radical ideas."
0,Catholic Reformation is distinguished by the historian Massimo Firpo from Counter-Reformation.
